time,vreme
year,godina
people,ljudi
way,put
day,dan
man,čovjek
thing,stvar
woman,ženska
life,život
child,dijete
world,svijet
school,škola
state/condition,stanje
family,familija
student,učenik
group,grupa
country,država
problem,problem
hand,ruka
part,dio
place/space,mjesto
case,kutija
week,tjedan
company,kompanija
system,sistem
program,program
question,pitanje
work,posao
government,vlada
number,broj
night,noć
point,točka
home,kuća
water,voda
room,soba
mother,majka
area,oblast
money,pare
story,priča
fact,fakt
month/moon,mjesec
lot,zemlja
right (correct),upravo
book,knjiga
eye,oko
word,riječ
issue,izdanje
side,strana
kind,vrsta
head,glava
service,servis
friend,prijatelju
father,otac
power,vlast
hour/wristwatch,sat
game,igra
line,red
end,kraj
member,član
law,zakon
car,auto
city,grad
community,zajednica
name,ime
president,predsjednik
team,tim
minute,minuta
idea,ideja
kid,dijete
body,tijelo
information,informacija
back,leđa
parent,roditelj
face,lice
others,drugi
level (floor),sprat
office,kancelarija
door,vrata
health,zdravlje
person,osoba
art,umjetnost
war,rat
history,istorija
party,zabava
result,rezultat
change,promjena
morning,jutro
reason,razlog
research,istraživanje
girl,djevojka
guy,momak
moment,trenutak
air,zrak
teacher,učitelj
force,sila
education,education
