English,,Serbian
hello,,zdravo
how are you,,kako ste
i’m fine,,jas sam dobro
i’m not well,,nisam dobro
i come from,,jas sam iz
where are you from,,odakle ste
thank you,,hvala
sorry,,izvini
no problem,,nema problema
goodbye,,zbogom
do you speak english,,govorite li engleski
what is your name,,kako se zovete
my name is,,ja sam
how much,,koliko to koshta
very expensive,,mnogu skupo
can you reduce the price,,moze popust
i want this one,,zelim ovu!
1,,jedan
2,,dva
3,,tri
4,,cetiri
5,,pet
6,,shest
7,,sedam
8,,osam
9,,devet
10,,deset
11,,jedanaest
12,,dvanaest
13,,trinaest
20,,dvadeset
21,,dvadeset i jedan
22,,dvadeset i dva
30,,trideset
31,,trideset i jedan
40,,cetrdeset
50,,pedeset
60,,shezdeset
70,,sedamdeset
80,,osamdeset
90,,devedeset
100,,sto
500,,petsto
1000,,hiljada
restaurant,,restoran
café,,kafic/kafe bar
excuse me,,izvinite
bathroom,,toalet/wc
what is this,,sta je ovo
hungry,,gladan
may i have the menu,,moze meni
vegetarian,,vegetarijanac
water,,voda
beer,,pivo
chicken,,piletina
rice,,pirinac
cold,,hladno
hot,,toplo
please no ice,,molim te bez leda
no sugar,,bez secer
1 more please,,jos jedno molim vas
i like spicy,,moze ljuto/volim ljuto
not spicy,,ne ljuto
hurts,,boli
tooth,,zub
dentist,,zubar/stomatolog
where is the police,,gde je policija
where is the hospital,,gde je bolnica
call an ambulance,,zovi hitnu pomoc
i’m lost,,izgubio sam se
can you help,,mozes li pomoci
speak slowly,,govori polako
do you use meter,,dali koristite metar
nearby,,u blizini
go straight,,idite pravo
take/go left,,idi levo
go right,,idi desno
back,,natrag
stop,,stop
the airport please,,na aerodrom molim
station,,stanica
bus stop,,autobuska stanica
bus,,autobus
train,,voz
airplane,,avion
minibus,,minibus
car,,kola/automobil
bicycle,,bicikl
motorcycle,,motor
boat,,camac/brod
i,,ja
i am,,ja sam
you,,ti
you are,,ti si
he/she/they,,on/ona/oni
he is/she is/they are,,on je/ona je/oni su
female/male (junior),,ono/ono
female/male (senior),,vi/vi ste
